"","id","Condition","Task","ElectrodeSite","ern.l","ern.v","p1.l","p1.v","n1.l","n1.v","p2.l","p2.v","n300.l","n300.v","p3.l","p3.v","n400.l","n400.v","p4.l","p4.v","lpc.l","lpc.v"
"133",132,"congruent","stroop","fz","294","1.940368","102","-3.578522","102","-3.578522","232","2.72331","268","1.3906","294","1.940368","488","-2.968075","526","-2.754861","664","0.207708"
"134",132,"congruent","stroop","pz","338","6.63138","114","-0.629878","114","-0.629878","164","1.916512","240","-0.708097","338","6.63138","442","3.907872","528","5.47823","612","3.580999"
"135",132,"congruent","stroop","cz","336","4.471407","96","-4.017977","96","-4.017977","222","2.72627","264","1.583835","336","4.471407","408","2.069213","508","3.821318","614","4.297983"
"136",132,"congruent","simon","fz","332","8.629373","106","-5.455019","106","-5.455019","192","2.887743","230","0.752602","332","8.629373","436","-3.119847","582","-0.792134","680","3.636202"
"137",132,"congruent","simon","pz","344","13.378306","110","-1.705956","110","-1.705956","158","1.687698","186","-0.411766","344","13.378306","436","4.54731","534","3.885314","660","3.625367"
"138",132,"congruent","simon","cz","330","12.736726","102","-4.607322","102","-4.607322","210","2.346647","226","2.048859","330","12.736726","434","1.74275","526","2.684248","678","4.026037"
"139",103,"incongruent","stroop","fz","426","9.160395","120","-1.592559","120","-1.592559","230","8.115537","316","-5.143435","426","9.160395","512","2.392741","556","8.558396","614","9.192162"
"140",103,"incongruent","stroop","pz","442","12.629936","76","-1.026784","76","-1.026784","182","6.159029","302","1.109168","442","12.629936","514","8.050282","566","9.573524","746","10.098163"
"141",103,"incongruent","stroop","cz","426","11.042171","120","-2.967891","120","-2.967891","180","3.447113","302","-1.806305","426","11.042171","514","6.855702","554","10.019868","624","10.648409"
"142",103,"incongruent","simon","fz","428","3.674279","112","-3.691695","112","-3.691695","212","5.104764","274","-2.6204","428","3.674279","530","-2.071839","564","0.980852","612","0.808231"
"143",103,"incongruent","simon","pz","446","10.406979","66","-3.393274","66","-3.393274","182","1.883597","278","-1.904079","446","10.406979","354","4.786493","510","10.093557","604","8.030768"
"144",103,"incongruent","simon","cz","446","9.765098","112","-3.571287","112","-3.571287","212","3.95705","278","-1.085435","446","9.765098","550","4.522126","580","4.863808","706","2.663098"
"145",104,"incongruent","stroop","fz","322","6.46398","120","-4.020051","120","-4.020051","154","1.46286","176","-0.532121","322","6.46398","468","0.8432","486","1.766125","784","1.790855"
"146",104,"incongruent","stroop","pz","368","6.957756","124","-1.399602","124","-1.399602","206","1.716939","240","-0.469273","368","6.957756","494","3.222767","518","3.309753","692","1.036803"
"147",104,"incongruent","stroop","cz","366","7.924399","122","-3.63211","122","-3.63211","206","1.147141","238","-1.100798","366","7.924399","476","3.183835","518","2.187348","788","2.208413"
"148",105,"incongruent","stroop","fz","424","4.465494","70","-4.573472","70","-4.573472","212","3.100982","312","-3.119542","424","4.465494","532","-3.787384","564","-0.340537","760","3.171738"
"149",105,"incongruent","stroop","pz","416","8.135119","70","-5.78817","70","-5.78817","236","1.277049","278","-0.306888","416","8.135119","474","3.209314","516","3.934072","718","4.56908"
"150",105,"incongruent","stroop","cz","412","8.463635","70","-6.441099","70","-6.441099","218","3.324633","278","-0.643629","412","8.463635","530","1.039074","564","2.904902","732","4.388411"
"151",105,"incongruent","simon","fz","464","1.862098","144","-6.463608","144","-6.463608","244","-0.424561","180","-6.802554","464","1.862098","306","-4.032784","602","3.71721","652","2.301018"
"152",105,"incongruent","simon","pz","412","6.27536","124","-5.064877","124","-5.064877","200","0.918994","234","-3.653916","412","6.27536","540","2.095697","602","5.049494","630","3.754904"
"153",105,"incongruent","simon","cz","426","6.041004","142","-5.471579","142","-5.471579","260","1.248316","294","-1.363542","426","6.041004","542","3.934697","602","6.314498","652","4.757096"
"154",106,"incongruent","stroop","fz","270","2.449846","78","-3.216456","78","-3.216456","156","4.242597","262","1.799649","270","2.449846","338","-5.759644","426","-0.769877","620","-1.135091"
"155",106,"incongruent","stroop","pz","268","3.505955","78","-2.905809","78","-2.905809","182","6.029392","218","2.232196","268","3.505955","338","-1.316421","422","1.525265","746","2.079116"
"156",106,"incongruent","stroop","cz","246","3.111986","94","-3.416047","94","-3.416047","154","3.087649","218","1.575437","246","3.111986","338","-2.051576","422","0.969259","750","2.26504"
"157",106,"incongruent","simon","fz","382","1.767846","110","-4.073019","110","-4.073019","226","2.331007","258","-2.011953","382","1.767846","442","-2.719659","530","0.714383","776","-0.780365"
"158",106,"incongruent","simon","pz","336","7.243687","56","-2.171491","56","-2.171491","230","3.115474","292","1.320182","336","7.243687","494","2.552523","592","4.486621","628","3.931252"
"159",106,"incongruent","simon","cz","362","4.894302","110","-3.839841","110","-3.839841","230","3.95578","264","0.16072","362","4.894302","452","1.544693","554","3.798081","628","3.479514"
"160",108,"incongruent","stroop","fz","420","-4.923244","144","-4.988338","144","-4.988338","224","3.154357","162","-2.645413","420","-4.923244","438","-6.451657","586","-1.108252","604","-0.35823"
"161",108,"incongruent","stroop","pz","400","-3.162591","142","-2.096233","142","-2.096233","216","1.167371","270","-2.364243","400","-3.162591","442","-4.468627","568","-0.813724","606","0.088512"
"162",108,"incongruent","stroop","cz","416","-4.855315","142","-4.732167","142","-4.732167","222","3.654762","272","-2.19149","416","-4.855315","440","-5.802211","606","-0.199815","780","0.041224"
"163",108,"incongruent","simon","fz","420","2.480146","134","-3.46755","134","-3.46755","180","-1.112935","334","-5.298048","420","2.480146","514","-3.172461","540","-1.546606","642","-1.09163"
"164",108,"incongruent","simon","pz","414","5.172722","86","-2.011025","86","-2.011025","172","3.035205","342","-2.099106","414","5.172722","494","-0.049777","540","2.003393","644","1.218648"
"165",108,"incongruent","simon","cz","420","4.248086","108","-3.37041","108","-3.37041","176","-0.271047","336","-4.475426","420","4.248086","500","-2.618337","540","-0.557825","644","0.053495"
"166",109,"incongruent","stroop","fz","294","-8.741886","106","1.133593","106","1.133593","138","5.279459","280","-9.606346","294","-8.741886","386","-16.26033","572","-9.431605","778","-5.468571"
"167",109,"incongruent","stroop","pz","358","-2.181699","140","0.823982","140","0.823982","170","2.851804","258","-5.62875","358","-2.181699","436","-6.607597","570","-2.917391","756","-2.037429"
"168",109,"incongruent","stroop","cz","304","-6.498346","150","0.497494","150","0.497494","184","3.091249","256","-8.219197","304","-6.498346","412","-12.245776","582","-5.757581","780","-3.381555"
"169",109,"incongruent","simon","fz","326","-1.234272","92","-1.343968","92","-1.343968","174","-0.051638","244","-3.731391","326","-1.234272","426","-3.245824","494","-0.013906","780","0.143119"
"170",109,"incongruent","simon","pz","272","-0.260785","138","-0.198166","138","-0.198166","160","2.379675","244","-2.534198","272","-0.260785","380","-0.842766","576","3.193574","606","2.203696"
"171",109,"incongruent","simon","cz","334","0.351257","140","-2.043024","140","-2.043024","178","0.561748","244","-2.757704","334","0.351257","362","-0.422735","546","3.058181","614","2.030869"
"172",110,"incongruent","stroop","fz","356","2.818618","112","-3.639046","112","-3.639046","190","2.937961","274","0.207007","356","2.818618","462","-2.482085","574","0.534959","668","0.156118"
"173",110,"incongruent","stroop","pz","324","2.918217","70","-3.190323","70","-3.190323","180","3.576711","256","0.008271","324","2.918217","482","-0.743631","560","0.874816","706","0.301264"
"174",110,"incongruent","stroop","cz","326","4.008202","102","-4.184184","102","-4.184184","180","2.92537","256","0.941948","326","4.008202","482","-0.462836","574","1.00066","686","0.463991"
"175",110,"incongruent","simon","fz","316","3.56498","96","-3.922133","96","-3.922133","182","-0.016859","222","-5.045467","316","3.56498","346","0.17308","408","4.012915","776","0.082712"
"176",110,"incongruent","simon","pz","356","5.141976","68","-3.922835","68","-3.922835","184","2.807515","224","-1.004475","356","5.141976","390","3.768918","424","4.405992","668","-0.703375"
"177",110,"incongruent","simon","cz","280","4.206359","96","-3.973237","96","-3.973237","182","1.791155","222","-3.357103","280","4.206359","348","2.417657","412","5.284473","742","-0.814056"
"178",111,"incongruent","stroop","fz","406","2.866445","122","-0.869985","122","-0.869985","196","7.187349","328","-3.456296","406","2.866445","490","-5.753851","556","-1.403257","730","2.978285"
"179",111,"incongruent","stroop","pz","412","8.858167","108","1.600976","108","1.600976","188","8.350064","282","-0.342764","412","8.858167","514","1.590622","548","1.810108","724","5.783922"
"180",111,"incongruent","stroop","cz","418","4.526825","120","0.290716","120","0.290716","192","8.715867","290","-2.35386","418","4.526825","494","-2.188063","554","-0.625617","734","4.32435"
