"","id","mus_code","Task","Condition","ElectrodeSite","max_p3","min_p3","beta","r2"
"27",109,"nm","simon","ic","cz",0.198438409359844,-2.86816428059532,0.051036131180114,0.673058915474457
"28",110,"mus","simon","ic","cz",4.02070230496158,-3.69389408509858,0.182279647505875,0.889659023693038
"29",111,"mus","simon","ic","cz",3.8002744620923,-4.22785906901552,0.13372155364333,0.968104118604893
"30",113,"nm","simon","ic","cz",9.686,0.227132914451426,0.247160029578553,0.941603230919101
"31",115,"nm","simon","ic","cz",2.07488856852386,-0.584619006349894,0.0122126976609295,0.106381392250693
"32",116,"nm","simon","ic","cz",5.44013586440226,0.982790420159663,0.05201283993192,0.589937375167985
"33",117,"mus","simon","ic","cz",0.993502124964584,-0.446172147130881,-0.00151262611924978,0.00330095206662641
"34",118,"mus","simon","ic","cz",3.56301736637723,-2.25834061098982,0.0420036425644003,0.200879901408012
"35",120,"nm","simon","ic","cz",9.134,1.19546844219263,0.0874804236581659,0.848703482511076
"36",121,"nm","simon","ic","cz",1.90249214179764,-6.0907969700505,0.0885766646392338,0.740684118192686
"37",122,"mus","simon","ic","cz",8.312,3.40301461642306,0.0684626540335242,0.951865307029736
"38",123,"mus","simon","ic","cz",11.104,-4.48834706088232,0.436314348721365,0.980385042634016
"39",124,"mus","simon","ic","cz",5.333,0.129500858319028,0.128809443569609,0.986890106850598
"40",126,"mus","simon","ic","cz",6.833,1.13414521424643,0.0737702940912974,0.900416632925378
"41",128,"nm","simon","ic","cz",5.454,0.103533374443759,0.0829551254477926,0.950683979464086
"42",129,"nm","simon","ic","cz",4.27727466208896,-3.24115973067116,0.0924569641813603,0.835932563281623
"43",131,"nm","simon","ic","cz",9.70892943450943,-0.0478081198646691,0.248387110305326,0.890459154343855
"44",132,"mus","simon","ic","cz",7.06888728521191,1.4645570240496,0.132275659328847,0.942210682524615
"45",103,"mus","simon","ic","fz",1.45672650455826,-1.88244250929151,0.0319543900854164,0.257659233755784
"46",105,"nm","simon","ic","fz",-0.331924901251646,-5.69903904934918,0.0227059777745011,0.183756190032078
"47",106,"nm","simon","ic","fz",1.99702216629723,-2.5610553657439,0.0644984422168394,0.694079202784962
"48",108,"mus","simon","ic","fz",-1.39700221662972,-2.90762557290712,-0.0305452402766686,0.310659364093131
"49",109,"nm","simon","ic","fz",-1.29896725054582,-3.70687771870469,0.0516984014828989,0.850186517149355
"50",110,"mus","simon","ic","fz",3.5602445959234,-5.15582813619773,0.229779132769556,0.942137366471008
"51",111,"mus","simon","ic","fz",1.88580756987384,-4.13986200229996,0.0937374549901895,0.936791093968991
"52",113,"nm","simon","ic","fz",8.797,-0.139136897718371,0.2300198428539,0.950999250298953
"53",115,"nm","simon","ic","fz",-0.856723204613257,-3.3202974117098,0.0173122628172957,0.358915733048139
"54",116,"nm","simon","ic","fz",0.320405493241779,-0.711912434792754,0.0520971877398508,0.662751804148691
"55",117,"mus","simon","ic","fz",0.613237029382844,-0.947796920051332,-0.00211031618243228,0.00550139731946938
"56",118,"mus","simon","ic","fz",2.39600621656306,-1.26031154480759,-0.000390339643246548,4.9136512991583e-05
"57",120,"nm","simon","ic","fz",4.02596725054582,0.124409876502059,0.041894920577227,0.487326814537034
"58",121,"nm","simon","ic","fz",0.398944100931652,-4.60694193430109,0.0808282502169937,0.947804761360133
"59",122,"mus","simon","ic","fz",2.95943519274679,-2.10940942650956,0.119033301214175,0.96533841202371
"60",123,"mus","simon","ic","fz",1.6513431942801,-9.56268123864602,0.304379608046021,0.966081719902775
"61",124,"mus","simon","ic","fz",2.728,-1.3805723237946,0.077500436245862,0.977384343194053
"62",126,"mus","simon","ic","fz",4.296,-1.93223699605007,0.073904272260852,0.760760659270032
"63",128,"nm","simon","ic","fz",2.04901093315111,-0.866206913218113,0.0252175371066745,0.198435300192539
"64",129,"nm","simon","ic","fz",-0.331364793920101,-2.91920276328728,-0.00239558079890411,0.00225339896168644
"65",131,"nm","simon","ic","fz",5.93816156397393,-2.05696705054916,0.221252620055117,0.86698243305025
"66",132,"mus","simon","ic","fz",3.34277373710438,-1.28427604539924,0.106013485065365,0.891497214471047
"67",103,"mus","simon","c","fz",1.7694990916818,-2.47156019066349,0.0871338502848852,0.951727267187512
"68",105,"nm","simon","c","fz",3.8008344860919,-4.6566275562074,0.0736776531252569,0.756402778379341
"69",106,"nm","simon","c","fz",5.145,-1.20451017483042,0.0961228877844061,0.835294254231176
"70",108,"mus","simon","c","fz",0.48011853135781,-2.36691561807303,0.104076658002274,0.854159881020361
"71",109,"nm","simon","c","fz",-0.175654089098516,-4.23085896901718,0.0839877831652863,0.849334297898573
"72",110,"mus","simon","c","fz",7.88283211946468,-6.16818489691839,0.335432830792187,0.985577773177794
"73",111,"mus","simon","c","fz",2.39570742154297,-4.68254194096765,0.132457332023208,0.932071616630561
"74",113,"nm","simon","c","fz",9.574,1.35039019349677,0.183991222893091,0.980301702099301
"75",115,"nm","simon","c","fz",0.730118081365311,-3.38740179330344,0.0610863760807949,0.864706491227106
"76",116,"nm","simon","c","fz",-1.40435659405677,-2.45532841119315,0.00223693157952785,0.00360960909133904
"77",117,"mus","simon","c","fz",1.03301313311445,-1.33086176897052,0.024666127645604,0.365760541308147
"78",118,"mus","simon","c","fz",0.198671522141297,-0.414734921084649,-0.0047726133487893,0.00723644730913091
"79",120,"nm","simon","c","fz",4.626,1.09780860318995,0.0545454606925382,0.658773765023458
"80",121,"nm","simon","c","fz",3.87860520657989,-5.29292053465776,0.176116923139,0.961573195275998
"81",122,"mus","simon","c","fz",2.55655934067766,-1.10126889551841,0.0819137575389779,0.960412464555297
"82",123,"mus","simon","c","fz",10.361,-5.61574108764854,0.321826427429671,0.931393736914541
"83",124,"mus","simon","c","fz",3.533,-1.86874920417993,0.0753227496842626,0.903190377542347
"84",126,"mus","simon","c","fz",6.277,-4.17800618323028,0.190756062019742,0.986380229976555
"85",128,"nm","simon","c","fz",0.677237329377844,0.377923884601923,-0.00371365349664435,0.0238043555177421
"86",129,"nm","simon","c","fz",-0.292726571223813,-5.37581045315911,0.0504302870518063,0.366372467709287
"87",131,"nm","simon","c","fz",7.871,-2.11660780653656,0.192554251633568,0.973810566765247
"88",132,"mus","simon","c","fz",8.613,0.650414209763172,0.174438793412466,0.944074007252196
"89",103,"mus","simon","ic","pz",6.72860682321961,-1.59783706938218,0.180452418903124,0.966626270144847
